row,column,Year,Month,pet,tmn,cld,dtr,vap,wet,pre,tmp,tmx,frs,RH,SVP,VPD,windspeed,ndvi,GPP,popd,PDSI,SMroot,SMsurf,BA_km2
23,218,1997,1,0.05,-18.375,88.75,8.9,2.025,22.5,199.6,-13.9,-9.475,31.0,110.72398,1.8289456,-0.19605434,3.0410168,-0.42832127,,0.09102985,1.39,0.19687557,0.20772156,0.0
23,218,1997,2,0.025,-16.075,85.35,7.375,2.375,20.25,196.8,-12.375,-8.7,28.0,113.016174,2.101026,-0.273974,2.50596,0.19494581,0.0020686002,0.09102985,1.7149999,0.19737804,0.21007892,0.0
23,218,1997,3,0.375,-10.075001,79.3,7.05,3.25,21.25,251.8,-6.525,-3.025,29.5,92.23014,3.524662,0.2746619,1.1014028,0.40747225,2.6621873,0.09102985,2.3575,0.19982374,0.2150929,0.0
23,218,1997,4,1.0,-8.275,63.725002,8.1,3.3000002,14.75,152.6,-4.175,-0.12499999,27.5,76.53454,4.3111176,1.0111177,5.278389,0.5180701,32.861095,0.09102985,2.46,0.19875157,0.21695954,0.0
23,218,1997,5,2.025,-0.19999999,63.4,7.575,5.3500004,11.5,121.600006,3.5749998,7.375,17.75,65.42778,8.175943,2.825943,3.9405558,0.55946946,70.81982,0.09102985,-0.0925,0.21368542,0.25523418,0.0
23,218,1997,6,3.5500002,5.725,53.65,10.8,8.200001,12.5,174.1,11.125,16.525002,3.5,55.599785,14.748486,6.548485,5.464287,0.5479673,100.56076,0.09102985,-0.32999998,0.1916041,0.20653158,0.0
23,218,1997,7,3.25,8.725,55.725,9.875,10.925,11.25,171.5,13.625,18.6,0.0,61.36203,17.805796,6.880796,2.6300888,0.36436942,84.88652,0.09102985,-0.61,0.16477028,0.17020836,0.0
23,218,1997,8,2.225,8.425,76.075,9.15,11.0,14.75,244.3,12.975,17.575,0.0,64.867165,16.958637,5.958637,2.4750803,0.16555417,17.12008,0.09102985,-0.74,0.16596524,0.1944329,0.0
23,218,1997,9,1.05,5.2250004,76.55,5.875,8.975,16.75,252.0,8.15,11.1,4.5,76.50209,11.732046,2.7570457,1.4703549,-0.12614444,0.0012107412,0.09102985,-0.95,0.18558808,0.21882042,0.0
23,218,1997,10,0.225,-2.775,85.475006,4.0,5.3,17.75,181.9,-0.775,1.225,23.5,92.450195,5.7339277,0.43392766,2.516558,-0.12152986,0.0,0.09102985,-1.2725,0.19420232,0.21785383,0.0
23,218,1997,11,0.05,-9.075001,91.0,5.45,3.65,17.5,163.6,-6.3,-3.625,28.0,101.5872,3.5934615,-0.056538522,0.97630477,-0.14502084,0.0,0.09102985,-1.6424999,0.19516659,0.2060976,0.0
23,218,1997,12,0.0,-14.65,92.925,7.625,2.7,18.5,122.8,-10.8,-7.025,31.0,111.58998,2.4204407,-0.2795592,2.4811304,-0.42890927,,0.09102985,-1.9499999,0.19461644,0.19760752,0.0
23,218,1998,1,0.0,-15.675,91.9,6.95,2.625,24.5,255.70001,-12.150001,-8.725,31.0,122.444046,2.1442883,-0.48071182,3.6617498,-0.42832127,,0.09102985,0.5675,0.19699903,0.20787796,0.0
23,218,1998,2,0.0,-24.4,74.6,9.025,1.425,19.75,174.0,-19.85,-15.375,28.0,136.00444,1.0477784,-0.37722164,2.5634966,0.19494581,0.12347218,0.09102985,0.8525,0.194468,0.19583778,0.0
23,218,1998,3,0.3,-14.325001,74.375,9.625,2.65,18.5,171.6,-9.5,-4.7,31.0,97.5395,2.7170959,0.067095876,4.0848846,0.40747225,6.520765,0.09102985,1.0799999,0.19379601,0.19462784,0.0
23,218,1998,4,0.90000004,-9.775001,62.275,9.85,3.3000002,11.5,77.8,-4.825,0.1,28.5,80.89365,4.078597,0.7785973,0.44602835,0.46209234,21.574427,0.09102985,0.9375,0.19801092,0.2163417,0.0
23,218,1998,5,2.0,0.075,64.975,7.925,5.75,16.25,253.6,4.025,8.025,17.0,67.831894,8.476887,2.7268863,2.557601,0.4283403,76.7527,0.09102985,1.4875,0.21689436,0.26127744,0.0
23,218,1998,6,2.85,5.4,65.425,8.375,8.35,16.25,298.0,9.575001,13.775001,4.0,63.733803,13.099029,4.749028,3.4643283,0.5485618,124.09802,0.09102985,1.9325,0.1992243,0.21629311,0.0
23,218,1998,7,3.2,10.975,61.2,8.2,12.5,16.5,430.7,15.05,19.175,0.0,63.149097,19.795338,7.2953377,3.3703313,0.40708473,82.660774,0.09102985,2.83,0.18027668,0.20589092,0.0
23,218,1998,8,1.8000001,8.200001,77.175,5.875,10.5,15.5,288.8,11.125,14.075001,0.0,71.2067,14.745583,4.2455816,1.2119856,0.17037082,13.993562,0.09102985,2.945,0.18928453,0.20506391,1.2500432
23,218,1998,9,0.90000004,3.7250001,82.475006,5.55,8.200001,19.25,313.90002,6.45,9.275,7.5,79.82012,10.272596,2.0725956,3.689433,-0.12614444,0.56762815,0.09102985,3.6325002,0.19461021,0.22205251,0.0
23,218,1998,10,0.25,-1.275,80.524994,4.125,5.925,25.25,379.0,0.825,2.9250002,20.75,90.58359,6.5416584,0.6166581,3.6683595,-0.12152986,0.0,0.09102985,4.36,0.20421001,0.24338767,0.0
23,218,1998,11,0.0,-11.125,91.55,4.825,3.3,18.75,196.2,-8.675,-6.3,29.0,113.02696,2.9228663,-0.3771335,2.6822052,-0.14502084,0.0,0.09102985,3.0175,0.20107338,0.21177863,0.0
23,218,1998,12,0.0,-14.650001,94.975006,6.925,2.65,20.25,117.3,-11.175,-7.7250004,31.0,113.22724,2.3406136,-0.30938643,1.3842406,-0.42890927,,0.09102985,2.595,0.19523363,0.1974253,0.0
23,218,1999,1,0.0,-21.400002,85.975006,7.05,1.825,19.25,150.20001,-17.85,-14.35,31.0,144.02232,1.2673013,-0.5576987,2.9593983,-0.42832127,,0.09102985,2.4,0.19390601,0.1944057,0.0
23,218,1999,2,0.0,-17.825,82.725,6.7,2.625,14.25,122.100006,-14.45,-11.125,28.0,150.97061,1.7391382,-0.8858619,4.3364964,0.19494581,0.047747232,0.09102985,2.2625,0.19503024,0.20293514,0.0
23,218,1999,3,0.3,-10.825001,75.25,7.6000004,3.25,14.75,109.3,-7.0,-3.225,30.0,96.10117,3.3823793,0.13237923,3.6463587,0.40747225,5.676015,0.09102985,2.0575001,0.1947258,0.19737181,0.0
23,218,1999,4,1.1750001,-4.775,59.75,8.65,4.5,14.5,145.8,-0.425,3.9250002,24.75,76.2382,5.9033375,1.4033372,2.9689045,0.47714305,27.488943,0.09102985,2.0525,0.20350994,0.23743045,0.0
23,218,1999,5,1.8000001,-2.25,65.65,7.075,4.65,10.75,100.0,1.325,4.9,22.5,68.21621,6.81558,2.1655798,3.5425005,0.524,58.386475,0.09102985,1.8399999,0.20862459,0.23431009,0.0
23,218,1999,6,3.65,8.225,55.325,10.3,10.25,11.5,148.2,13.325,18.525002,0.0,58.86783,17.411987,7.161987,7.010829,0.5226556,105.51703,0.09102985,1.4,0.18865906,0.19656576,0.0
23,218,1999,7,3.3,10.05,55.475002,9.025001,11.9,14.5,291.9,14.55,19.075,0.0,62.386787,19.075172,7.1751733,3.0184503,0.3931174,85.60251,0.09102985,1.4175,0.15911028,0.18083829,0.0
23,218,1999,8,2.0500002,6.925,70.8,7.925,9.700001,18.0,339.40002,10.85,14.85,1.5,67.17321,14.441267,4.741267,0.69726413,0.16242848,1.057486,0.09102985,1.6,0.17253405,0.20932537,0.0
23,218,1999,9,1.1,5.3,76.75,6.15,8.975,12.25,115.9,8.35,11.45,4.25,75.323685,11.915584,2.9405832,2.65886,-0.12614444,0.07183845,0.09102985,0.94500005,0.1790559,0.19029206,0.0
23,218,1999,10,0.25,1.225,81.8,3.7,7.0249996,24.0,352.6,3.025,4.925,14.0,89.827225,7.821715,0.796715,2.7501836,-0.12152986,0.0,0.09102985,1.28,0.19899592,0.2407495,1.0489222
23,218,1999,11,0.0,-7.4750004,89.525,5.275,4.15,20.75,219.4,-4.8,-2.2,27.0,101.550476,4.087286,-0.0627138,2.568468,-0.14502084,0.0,0.09102985,1.2950001,0.19833061,0.21532488,0.0
23,218,1999,12,0.0,-13.55,95.0,7.3,2.85,25.75,279.6,-9.875,-6.25,30.25,108.45105,2.6281662,-0.2218337,1.6121098,-0.42890927,,0.09102985,1.6975,0.19587144,0.20394835,0.0
23,218,2000,1,0.0,-16.0,91.925,7.3,2.525,22.75,230.9,-12.325,-8.7,31.0,119.6567,2.110661,-0.41433913,0.9158145,-0.42832127,,0.09102985,1.9499999,0.19726902,0.21129613,0.0
23,218,2000,2,0.0,-13.625,87.100006,6.775,2.9250002,18.0,151.6,-10.225,-6.8500004,28.25,114.83235,2.5479138,-0.37708628,2.4429624,0.19494581,0.0120559195,0.09102985,1.99,0.19762973,0.21208744,0.0
23,218,2000,3,0.4,-8.925,79.850006,6.5750003,3.45,19.75,210.8,-5.6000004,-2.3500001,29.0,90.40284,3.8168938,0.3668937,3.217764,0.40747225,3.4665694,0.09102985,2.29,0.19742684,0.2120789,0.0
23,218,2000,4,1.0,-3.4,69.075,6.625,4.95,16.25,202.0,-0.07500001,3.25,23.5,81.45752,6.075785,1.1257851,3.3360095,0.3705062,22.05967,0.09102985,2.685,0.20864558,0.25102198,0.0
23,218,2000,5,2.275,1.225,59.2,8.625,6.15,12.25,119.0,5.5250006,9.85,14.0,64.39051,9.551498,3.4014983,1.4557412,0.55815554,57.75662,0.09102985,-0.17,0.21177225,0.24446075,0.0
23,218,2000,6,3.275,6.9750004,59.0,9.425,9.4,16.0,251.6,11.675001,16.4,1.5,61.134117,15.3759985,5.9759984,4.6649656,0.5431472,100.29814,0.09102985,-0.060000002,0.19712915,0.21773513,0.70435137
23,218,2000,7,3.4250002,11.175,59.575,9.425,12.700001,11.0,163.2,15.85,20.6,0.0,60.48211,20.998966,8.298965,4.631253,0.41235554,62.351498,0.09102985,-0.3825,0.16476612,0.16886705,3.0043502
